ToxPi Score,FIPS,Name,Source,Economic & Productivity Losses!1!0x88cceeff,Transition Risks!1!0x44aa99ff
0.321989886811466,26163516800,26163516800,"+42.3560005,-083.0254934",0.0603732162458837,0.583606557377049
0.416940490543629,26163516900,26163516900,"+42.3446547,-083.0302450",0.250274423710209,0.583606557377049
0.512439941696209,26163517000,26163517000,"+42.3408105,-083.0361037",0.441273326015368,0.583606557377049
0.333515682640226,26163517100,26163517100,"+42.3358287,-083.0330442",0.0834248079034028,0.583606557377049
0.653493728743409,26163517200,26163517200,"+42.3338393,-083.0390113",0.72338090010977,0.583606557377049
0.453164420291159,26163517300,26163517300,"+42.3456895,-083.0505419",0.322722283205269,0.583606557377049
0.531100753990391,26163517500,26163517500,"+42.3541327,-083.0560746",0.478594950603732,0.583606557377049
0.517379568479963,26163518000,26163518000,"+42.3624987,-083.0613713",0.451152579582876,0.583606557377049
0.296742905472279,26163518400,26163518400,"+42.3698286,-083.0441079",0.00987925356750823,0.583606557377049
0.328576055856472,26163518500,26163518500,"+42.3732892,-083.0345719",0.0735455543358946,0.583606557377049
0.336259919742312,26163518600,26163518600,"+42.3647264,-083.0294479",0.0889132821075741,0.583606557377049
0.314306022925627,26163518800,26163518800,"+42.3597016,-083.0372366",0.0450054884742042,0.583606557377049
0.478960249050764,26163518900,26163518900,"+42.3525953,-083.0435070",0.374313940724479,0.583606557377049
0.532198448831225,26163520200,26163520200,"+42.3572141,-083.0699378",0.480790340285401,0.583606557377049
0.506951467492037,26163520300,26163520300,"+42.3497881,-083.0627334",0.430296377607025,0.583606557377049
0.395535441147361,26163520400,26163520400,"+42.3481561,-083.0675930",0.207464324917673,0.583606557377049
0.528356516888305,26163520700,26163520700,"+42.3347168,-083.0554556",0.473106476399561,0.583606557377049
0.712769250148459,26163520800,26163520800,"+42.3254678,-083.0537969",0.841931942919868,0.583606557377049
0.447675946086988,26163521100,26163521100,"+42.3208768,-083.0808652",0.311745334796926,0.583606557377049
0.411662557808929,26163521300,26163521300,"+42.3341230,-083.0929489",0.0856201975850713,0.737704918032787
0.411452016339458,26163521400,26163521400,"+42.3305838,-083.0730165",0.239297475301866,0.583606557377049
0.415293948282377,26163521500,26163521500,"+42.3368603,-083.0763920",0.246981339187706,0.583606557377049
0.314854870346044,26163521800,26163521800,"+42.3461214,-083.0712523",0.0461031833150384,0.583606557377049
0.532198448831225,26163521900,26163521900,"+42.3503993,-083.0805337",0.480790340285401,0.583606557377049
0.460848284176999,26163522000,26163522000,"+42.3435757,-083.0875891",0.338090010976948,0.583606557377049
0.401162476831441,26163522100,26163522100,"+42.3435090,-083.1014140",0.0318331503841932,0.770491803278689
0.40494682478271,26163522200,26163522200,"+42.3511187,-083.1065656",0.013172338090011,0.79672131147541
0.520305555055695,26163522300,26163522300,"+42.3565382,-083.0965947",0.289791437980242,0.750819672131148
0.336808767162729,26163522400,26163522400,"+42.3609881,-083.0833636",0.0900109769484084,0.583606557377049
0.493230281981609,26163522500,26163522500,"+42.3411363,-083.0606837",0.402854006586169,0.583606557377049
0.49722517140235,26163523100,26163523100,"+42.3259510,-083.1023821",0.230515916575192,0.763934426229508
0.60968130859621,26163523200,26163523200,"+42.3144563,-083.1042425",0.429198682766191,0.79016393442623
0.553250796278635,26163523300,26163523300,"+42.3172270,-083.0975239",0.362239297475302,0.744262295081967
0.454262115131993,26163523400,26163523400,"+42.3196503,-083.0910903",0.324917672886937,0.583606557377049
0.740445556135394,26163523800,26163523800,"+42.3078841,-083.1139929",0.50384193194292,0.977049180327869
0.596480178510374,26163524000,26163524000,"+42.3169861,-083.1199144",0.389681668496158,0.80327868852459
0.64697414118875,26163524100,26163524100,"+42.3113650,-083.1373320",0.490669593852909,0.80327868852459
0.694723866765039,26163524200,26163524200,"+42.3070018,-083.1291089",0.586169045005488,0.80327868852459
0.80902269169171,26163524300,26163524300,"+42.3001177,-083.1320379",0.62788144895719,0.990163934426229
0.699780461031833,26163524500,26163524500,"+42.2868892,-083.1512103",0.399560922063666,1
0.790340285400659,26163524700,26163524700,"+42.2739530,-083.1526152",0.580680570801317,1
0.763995609220637,26163524800,26163524800,"+42.2630997,-083.1615912",0.527991218441273,1
0.773889258786057,26163524900,26163524900,"+42.2904837,-083.1246926",0.554335894621295,0.99344262295082
0.818916341257131,26163525000,26163525000,"+42.3036532,-083.0973176",0.654226125137212,0.983606557377049
0.517994997390725,26163525400,26163525400,"+42.3391838,-083.1140246",0.232711306256861,0.80327868852459
0.426337478181066,26163525500,26163525500,"+42.3340140,-083.1093553",0.0493962678375412,0.80327868852459
0.470245271814436,26163525600,26163525600,"+42.3282644,-083.1115806",0.137211855104281,0.80327868852459
0.704603120332548,26163525700,26163525700,"+42.3267956,-083.1262619",0.605927552140505,0.80327868852459
0.500431879937378,26163525800,26163525800,"+42.3332194,-083.1284291",0.197585071350165,0.80327868852459
0.577819366216192,26163526000,26163526000,"+42.3259356,-083.1429717",0.352360043907794,0.80327868852459
0.515799607709057,26163526100,26163526100,"+42.3334778,-083.1520873",0.228320526893524,0.80327868852459
0.558609706501593,26163526200,26163526200,"+42.3372007,-083.1452619",0.313940724478595,0.80327868852459
0.606908279498299,26163526300,26163526300,"+42.3390784,-083.1384863",0.410537870472009,0.80327868852459
0.443900595634414,26163526400,26163526400,"+42.3405358,-083.1309829",0.0845225027442371,0.80327868852459
0.581112450738695,26163526500,26163526500,"+42.3481772,-083.1404328",0.358946212952799,0.80327868852459
0.430728257544403,26163527200,26163527200,"+42.3515946,-083.1186144",0.0581778265642152,0.80327868852459
0.444998290475248,26163527300,26163527300,"+42.3457181,-083.1184380",0.0867178924259056,0.80327868852459
0.470986665706933,26163530100,26163530100,"+42.4096746,-083.1216653",0.476399560922064,0.465573770491803
0.51928523870364,26163530200,26163530200,"+42.4111231,-083.1341948",0.572996706915478,0.465573770491803
0.517554119954653,26163530300,26163530300,"+42.4008029,-083.1306653",0.281009879253568,0.754098360655738
0.477380288279858,26163530400,26163530400,"+42.3909517,-083.1361282",0.151481888035126,0.80327868852459
0.550925842615753,26163530500,26163530500,"+42.3844331,-083.1340130",0.298572996706916,0.80327868852459
0.55147469003617,26163530800,26163530800,"+42.3716662,-083.1339332",0.29967069154775,0.80327868852459
0.594284788828706,26163530900,26163530900,"+42.3753050,-083.1262756",0.385290889132821,0.80327868852459
