row#,Name,FIPS,Source,ToxPi Score,Transportation Sources,Exposures & Risks,Pollution Sources,Criteria Air Pollutants,Land Use
57,26163507900,26163507900,"+42.4263906,-083.1066037",0.547977399613997,0.424093412593935,0.477479704378052,0.508183943881528,0.670571010248902,0.659558926967569
58,26163508000,26163508000,"+42.4392203,-083.1132634",0.685238517843263,0.69083642760583,0.560756201049396,0.531566640685893,0.683748169838946,0.959285150036251
59,26163508100,26163508100,"+42.4408940,-083.1014824",0.580119977287285,0.713186028252823,0.427007223493682,0.59041309431021,0.702781844802343,0.467211695577366
60,26163510400,26163510400,"+42.4147480,-083.0760398",0.60018904846605,0.656755647908193,0.487017811001869,0.651597817614965,0.632503660322108,0.573070305483113
61,26163510500,26163510500,"+42.4086539,-083.0689077",0.730141987732102,0.619028152468433,0.676587680150249,0.715510522213562,0.689604685212299,0.949978898615966
62,26163510600,26163510600,"+42.4074065,-083.0465471",0.579121960449509,0.0936369163926588,0.557841252088316,0.768511301636789,0.682284040995608,0.793336291134172
63,26163510700,26163510700,"+42.3936461,-083.0398776",0.560147865738605,0.295910837726315,0.395974731047805,0.803975058456742,0.677891654465593,0.62698704699657
64,26163511000,26163511000,"+42.4008260,-083.0306599",0.608144588915165,0.629999291613292,0.331592511337035,0.773187840997662,0.660322108345534,0.645621192282304
65,26163511200,26163511200,"+42.3763856,-083.0658451",0.736740595822199,0.7913328886239,0.470408608036652,0.839438815276695,0.638360175695461,0.944162491478287
66,26163511300,26163511300,"+42.4154477,-083.0497684",0.494279440798594,0.186364736509661,0.436114263089705,0.744349181605612,0.661786237188873,0.442782785599117
67,26163511400,26163511400,"+42.3900705,-083.0776630",0.601553249334673,0.4459117232097,0.598295721613077,0.826578332034295,0.638360175695461,0.49862029412083
68,26163511900,26163511900,"+42.3735241,-083.0718813",0.718824332844396,0.714059705193065,0.644214634007802,0.813717848791894,0.642752562225476,0.779376914003744
69,26163512100,26163512100,"+42.3989089,-082.9638962",0.443886323698858,0.459093619206725,0.150147145493352,0.376071706936867,0.622254758418741,0.611864388438606
70,26163512200,26163512200,"+42.3953197,-082.9768484",0.424969276598143,0.56273059463161,0.0845726624546047,0.464146531566641,0.538799414348463,0.474597179989395
71,26163512300,26163512300,"+42.3882982,-082.9663155",0.452278698464387,0.327729207374306,0.134647722229648,0.411925175370226,0.638360175695461,0.748731211652292
72,26163512400,26163512400,"+42.3908867,-082.9560714",0.385230989238913,0.225455876362907,0.0630248375652232,0.315666406858924,0.604685212298682,0.717322613108829
73,26163512600,26163512600,"+42.3820764,-082.9560601",0.394170694308526,0.285456230556261,0.0511022042854509,0.422057677318784,0.69692532942899,0.515312029953144
74,26163512900,26163512900,"+42.3755477,-082.9504678",0.399064863597617,0.235910483532961,0.109499805792922,0.401013250194856,0.699853587115666,0.549047191351679
75,26163513200,26163513200,"+42.3679701,-082.9383380",0.341309000529134,0.0972733014952863,0.0495519517255509,0.339438815276695,0.528550512445095,0.691730421703044
